_,Id,Order,Order.SaleNo__c,Order.OrderNo__c,Product2Id,IsDeleted,OrderId,PricebookEntryId,OriginalOrderItemId,AvailableQuantity,Quantity,UnitPrice,ListPrice,TotalPrice,ServiceDate,EndDate,Description,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,OrderItemNumber,OrderId__c,OrderSeqNo__c,SaleSeqNo__c,Status__c,DeleteDateTime__c,OrderItemNo__c,SaleItemNo__c,IsExclude__c,DiscountRate__c,NetSalesUnitPrice__c,StoreName__c,TotalAmount__c,OriginalOrderItemId__c,Field1__c
[OrderItem],802TJ00000R0kGLYAZ,[Order],SAL202511160032,,01tJO000008R5ePYAS,False,801TJ00000oJQKdYAO,01uJO000001RAVLYA4,,1,1,91000,2840000,91000,,,,2026-04-19T16:34:35.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:34:35.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:34:36.000+0000,2525281,801TJ00000oIT2bYAG,,1,,,,SAL202511160032-1,False,,,롯데노원점,91000,,0
[OrderItem],802TJ00000R0XRkYAN,[Order],SAL202511010646,,01tJO000008R7NYYA0,False,801TJ00000oJr6sYAC,01uJO000001RBAJYA4,,1,1,1050000,2630000,1050000,,,,2026-04-19T16:24:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:24:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:24:46.000+0000,2478000,801TJ00000oITeEYAW,,1,,,,SAL202511010646-1,False,,,신세계아울렛제주점,6292000,,0
[OrderItem],802TJ00000R0XRlYAN,[Order],SAL202511010646,,01tJO000008R7P8YAK,False,801TJ00000oJr6sYAC,01uJO000001RBBtYAO,,1,1,798000,1,798000,,,,2026-04-19T16:24:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:24:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:24:46.000+0000,2478001,801TJ00000oITeEYAW,,2,,,,SAL202511010646-2,False,,,신세계아울렛제주점,6292000,,0
[OrderItem],802TJ00000R0XRmYAN,[Order],SAL202511010646,,01tJO000008R7NaYAK,False,801TJ00000oJr6sYAC,01uJO000001RBALYA4,,1,1,624000,1520000,624000,,,,2026-04-19T16:24:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:24:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:24:46.000+0000,2478002,801TJ00000oITeEYAW,,3,,,,SAL202511010646-3,False,,,신세계아울렛제주점,6292000,,0
[OrderItem],802TJ00000R0dHMYAZ,[Order],SAL202512190541,,01tJO000008R5muYAC,False,801TJ00000oJIqcYAG,01uJO000001R6f3YAC,,1,1,1200000,2970000,1200000,,,,2026-04-19T16:28:39.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:28:39.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:28:39.000+0000,2500112,801TJ00000oIU4pYAG,,1,,,,SAL202512190541-1,False,,,신세계아울렛제주점,2058000,,0
[OrderItem],802TJ00000R0dHNYAZ,[Order],SAL202512190541,,01tJO000008R69YYAS,False,801TJ00000oJIqcYAG,01uJO000001R71hYAC,,1,1,858000,2090000,858000,,,,2026-04-19T16:28:39.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:28:39.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:28:39.000+0000,2500113,801TJ00000oIU4pYAG,,2,,,,SAL202512190541-2,False,,,신세계아울렛제주점,2058000,,0
[OrderItem],802TJ00000QzEuTYAV,[Order],SAL202308160218,,01tJO000008R7NcYAK,False,801TJ00000oJzfNYAS,01uJO000001RBANYA4,,1,1,704000,1830000,704000,,,,2026-04-19T15:19:18.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:19:18.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:19:18.000+0000,2188361,801TJ00000oIUQ0YAO,,1,,,,SAL202308160218-1,False,,,롯데청량리점,704000,,0
[OrderItem],802TJ00000QzEuQYAV,[Order],SAL202308160216,,01tJO000008R7OnYAK,False,801TJ00000oJzfLYAS,01uJO000001RBBYYA4,,1,1,525000,1360000,525000,,,,2026-04-19T15:19:18.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:19:18.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:19:18.000+0000,2188358,801TJ00000oIUQ4YAO,,1,,,,SAL202308160216-1,False,,,롯데청량리점,2149000,,0
[OrderItem],802TJ00000R0UWkYAN,[Order],SAL202510280133,,01tJO000008R3UEYA0,False,801TJ00000oKEn3YAG,01uJO000001R7X7YAK,,1,1,110000,5580000,110000,,,,2026-04-19T16:22:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:22:46.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:22:46.000+0000,2467278,801TJ00000oIUkzYAG,,1,,,,SAL202510280133-1,False,,,롯데노원점,110000,,0
[OrderItem],802TJ00000R0EmmYAF,[Order],SAL202504150151,,01tJO000008RDN9YAO,False,801TJ00000oKVFTYA4,01uJO000001REf6YAG,,1,1,723200,1590000,723200,,,,2026-04-19T16:09:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:09:14.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:09:14.000+0000,2410675,801TJ00000oIUyBYAW,,1,,,,SAL202504150151-1,False,,,신세계아울렛제주점,723200,,0
